epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30321,2.17388,3.91121,1.84233,0.00332,0.00897,0.00184,0.00036,1.53851,3.93158,1.51589,2.858e-05,2.858e-05,2.858e-05
2,3.76746,2.03438,3.8957,1.7767,0.00825,0.02277,0.00486,0.00223,1.29391,3.83112,1.30838,7.07426e-05,7.07426e-05,7.07426e-05
3,5.71498,1.62943,3.7741,1.53382,0.01246,0.03865,0.00942,0.00438,1.25855,3.73993,1.2087,0.000112056,0.000112056,0.000112056
4,7.43908,1.48353,3.72254,1.40198,0.01809,0.07315,0.02725,0.01297,1.2921,3.61991,1.13443,0.000152521,0.000152521,0.000152521
5,9.23348,1.44364,3.648,1.3111,0.0212,0.09455,0.05509,0.02905,1.2862,3.58331,1.12703,0.000192138,0.000192138,0.000192138
6,10.6528,1.28084,3.42,1.21398,0.02481,0.10973,0.07447,0.04094,1.28431,3.56239,1.12777,0.000230905,0.000230905,0.000230905
7,12.1116,1.2768,3.30847,1.20148,0.03239,0.12353,0.10088,0.05723,1.25325,3.54919,1.12279,0.000268823,0.000268823,0.000268823
8,13.5076,1.27473,3.28344,1.19415,0.03528,0.12767,0.10465,0.05974,1.25126,3.54754,1.12272,0.000305893,0.000305893,0.000305893
9,14.9217,1.24572,3.13961,1.17338,0.0374,0.12008,0.10378,0.06316,1.24844,3.51755,1.1176,0.000342114,0.000342114,0.000342114
10,16.293,1.23483,3.01501,1.17543,0.04354,0.13043,0.11918,0.07903,1.17679,3.49521,1.0949,0.000377486,0.000377486,0.000377486
11,17.7301,1.21196,2.93016,1.14665,0.04506,0.13527,0.12524,0.07465,1.26925,3.51135,1.15949,0.000412009,0.000412009,0.000412009
12,19.0858,1.24233,2.76803,1.14824,0.04648,0.13734,0.1248,0.0749,1.27335,3.50926,1.16506,0.000445684,0.000445684,0.000445684
13,20.5078,1.26025,2.72711,1.16782,0.05082,0.147,0.13153,0.08272,1.22738,3.47675,1.13802,0.000478509,0.000478509,0.000478509
14,21.9265,1.28905,2.63101,1.16341,0.05691,0.16425,0.13942,0.08788,1.22525,3.45102,1.13243,0.000510486,0.000510486,0.000510486
